[2026-02-13 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x18690afffe1daaec/temperature_calibration/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Sonoff SNZB-02D Living Room/set/temperature_calibration","default_entity_id":"number.sonoff_snzb-02d_living_room_temperature_calibration","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x18690afffe1daaec"],"manufacturer":"SONOFF","model":"Temperature and humidity sensor with screen","model_id":"SNZB-02D","name":"Sonoff SNZB-02D Living Room","sw_version":"2.3.0","via_device":"zigbee2mqtt_bridge_0x6c5cb1fffe9940a9"},"entity_category":"config","icon":"mdi:wrench-clock","max":50,"min":-50,"name":"Temperature calibration","object_id":"sonoff_snzb-02d_living_room_temperature_calibration","origin":{"name":"Zigbee2MQTT","sw":"2.8.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Sonoff SNZB-02D Living Room","step":0.1,"unique_id":"0x18690afffe1daaec_temperature_calibration_zigbee2mqtt","unit_of_measurement":"°C","value_template":"{{ value_json.temperature_calibration }}"}'
[2026-02-13 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x18690afffe1daaec/humidity_calibration/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Sonoff SNZB-02D Living Room/set/humidity_calibration","default_entity_id":"number.sonoff_snzb-02d_living_room_humidity_calibration","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x18690afffe1daaec"],"manufacturer":"SONOFF","model":"Temperature and humidity sensor with screen","model_id":"SNZB-02D","name":"Sonoff SNZB-02D Living Room","sw_version":"2.3.0","via_device":"zigbee2mqtt_bridge_0x6c5cb1fffe9940a9"},"entity_category":"config","icon":"mdi:wrench-clock","max":50,"min":-50,"name":"Humidity calibration","object_id":"sonoff_snzb-02d_living_room_humidity_calibration","origin":{"name":"Zigbee2MQTT","sw":"2.8.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Sonoff SNZB-02D Living Room","step":0.1,"unique_id":"0x18690afffe1daaec_humidity_calibration_zigbee2mqtt","unit_of_measurement":"%","value_template":"{{ value_json.humidity_calibration }}"}'
[2026-02-13 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x18690afffe1daaec/linkquality/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.sonoff_snzb-02d_living_room_linkquality","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x18690afffe1daaec"],"manufacturer":"SONOFF","model":"Temperature and humidity sensor with screen","model_id":"SNZB-02D","name":"Sonoff SNZB-02D Living Room","sw_version":"2.3.0","via_device":"zigbee2mqtt_bridge_0x6c5cb1fffe9940a9"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"sonoff_snzb-02d_living_room_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.8.0","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Sonoff SNZB-02D Living Room","unique_id":"0x18690afffe1daaec_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2026-02-13 10:00:10] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/update/0x18690afffe1daaec/update/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/bridge/request/device/ota_update/update","default_entity_id":"update.sonoff_snzb-02d_living_room","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x18690afffe1daaec"],"manufacturer":"SONOFF","model":"Temperature and humidity sensor with screen","model_id":"SNZB-02D","name":"Sonoff SNZB-02D Living Room","sw_version":"2.3.0","via_device":"zigbee2mqtt_bridge_0x6c5cb1fffe9940a9"},"device_class":"firmware","entity_category":"config","entity_picture":"https://github.com/Koenkk/zigbee2mqtt/raw/master/images/logo.png","name":null,"object_id":"sonoff_snzb-02d_living_room","origin":{"name":"Zigbee2MQTT","sw":"2.8.0","url":"https://www.zigbee2mqtt.io"},"payload_install":"{\"id\": \"0x18690afffe1daaec\"}","state_topic":"zigbee2mqtt/Sonoff SNZB-02D Living Room","unique_id":"0x18690afffe1daaec_update_zigbee2mqtt","value_template":"{\"latest_version\":\"{{ value_json['update']['latest_version'] }}\",\"installed_version\":\"{{ value_json['update']['installed_version'] }}\",\"update_percentage\":{{ value_json['update'].get('progress', 'null') }},\"in_progress\":{{ (value_json['update']['state'] == 'updating')|lower }}}"}'
[2026-02-13 10:00:18] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 10:00:18] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=2 frmTx=2)
[2026-02-13 10:00:19] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=1](frmRx=1) Added to rxQueue
[2026-02-13 10:00:19] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=2)
[2026-02-13 10:00:19] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=25:"STACK_STATUS_HANDLER" Seq=57 Len=6]
[2026-02-13 10:00:19] debug: 	zh:ember:ezsp: ezspStackStatusHandler: status=ZIGBEE_NETWORK_CLOSED
[2026-02-13 10:00:19] info: 	zh:ember: [STACK STATUS] Network closed.
[2026-02-13 10:00:19] debug: 	z2m:mqtt: Received MQTT message on 'zigbee2mqtt/bridge/request/device/rename' with data '{"from":"SNZB-02D 2","homeassistant_rename":true,"last":null,"to":"Sonoff SNZB-02D 2","transaction":"i52sr-4"}'
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/SNZB-02D 2', payload ''
[2026-02-13 10:00:19] debug: 	z2m: Refreshing Home Assistant discovery topic for 'Sonoff SNZB-02D 2'
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x8c73dafffe8ff178/battery/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sonoff SNZB-02D 2', payload '{"battery":100,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":71.1,"humidity_calibration":0,"linkquality":144,"temperature":17.1,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Sonoff/snzb-02d_v2.3.0.ota","latest_version":8960,"state":"idle"}}'
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/rename', payload '{"data":{"from":"SNZB-02D 2","homeassistant_rename":true,"to":"Sonoff SNZB-02D 2"},"status":"ok","transaction":"i52sr-4"}'
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x8c73dafffe8ff178/temperature/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x8c73dafffe8ff178/humidity/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x8c73dafffe8ff178/comfort_temperature_min/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x8c73dafffe8ff178/comfort_temperature_max/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x8c73dafffe8ff178/comfort_humidity_min/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x8c73dafffe8ff178/comfort_humidity_max/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0x8c73dafffe8ff178/temperature_units/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x8c73dafffe8ff178/temperature_calibration/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/number/0x8c73dafffe8ff178/humidity_calibration/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x8c73dafffe8ff178/linkquality/config', payload ''
[2026-02-13 10:00:19] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/update/0x8c73dafffe8ff178/update/config', payload ''
