[2026-02-13 00:20:47] debug: 	z2m: Removing old log directory '/config/zigbee2mqtt/log/2025-11-03.11-05-06'
[2026-02-13 00:20:47] info: 	z2m: Logging to console, file (filename: log.log)
[2026-02-13 00:20:47] debug: 	z2m: Loaded state from file /config/zigbee2mqtt/state.json
[2026-02-13 00:20:47] info: 	z2m: Starting Zigbee2MQTT version 2.8.0 (commit #unknown)
[2026-02-13 00:20:47] info: 	z2m: Starting zigbee-herdsman (9.0.2)
[2026-02-13 00:20:47] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":36961,\"extendedPanID\":[110,244,2,96,197,124,20,80],\"channelList\":[11],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"/config/zigbee2mqtt/database.db\",\"databaseBackupPath\":\"/config/zigbee2mqtt/database.db.backup\",\"backupPath\":\"/config/zigbee2mqtt/coordinator_backup.json\",\"serialPort\":{\"path\":\"/dev/serial/by-id/usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_4a3cf6fa99dbed11a440e62d62c613ac-if00-port0\",\"adapter\":\"ember\"},\"adapter\":{\"disableLED\":false}}"'
[2026-02-13 00:20:47] debug: 	zh:adapter:discovery: Connected devices: [{"path":"/dev/ttyS0"},{"path":"/dev/ttyS1"},{"path":"/dev/ttyS2"},{"path":"/dev/ttyS3"},{"path":"/dev/ttyS4"},{"path":"/dev/ttyS5"},{"path":"/dev/ttyS6"},{"path":"/dev/ttyS7"},{"path":"/dev/ttyUSB0","manufacturer":"ITead","serialNumber":"4a3cf6fa99dbed11a440e62d62c613ac","pnpId":"usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_4a3cf6fa99dbed11a440e62d62c613ac-if00-port0","vendorId":"10c4","productId":"ea60"}]
[2026-02-13 00:20:47] debug: 	zh:adapter:discovery: Unable to match USB adapter: ember | /dev/serial/by-id/usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_4a3cf6fa99dbed11a440e62d62c613ac-if00-port0
[2026-02-13 00:20:47] info: 	zh:ember: Using default stack config.
[2026-02-13 00:20:47] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","extendedPanID":[110,244,2,96,197,124,20,80],"panID":36961,"channelList":[11]},"serialPort":{"path":"/dev/serial/by-id/usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_4a3cf6fa99dbed11a440e62d62c613ac-if00-port0","adapter":"ember"},"adapter":{"disableLED":false},"databasePath":"/config/zigbee2mqtt/database.db","databaseBackupPath":"/config/zigbee2mqtt/database.db.backup","backupPath":"/config/zigbee2mqtt/coordinator_backup.json"}'
[2026-02-13 00:20:47] info: 	zh:ember: ======== Ember Adapter Starting ========
[2026-02-13 00:20:47] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2026-02-13 00:20:47] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2026-02-13 00:20:47] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: Opening serial port with {"path":"/dev/serial/by-id/usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_4a3cf6fa99dbed11a440e62d62c613ac-if00-port0","baudRate":115200,"rtscts":false,"autoOpen":false,"parity":"none","stopBits":1,"xon":true,"xoff":true}
[2026-02-13 00:20:47] info: 	zh:ember:uart:ash: Serial port opened
[2026-02-13 00:20:47] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: ---> [FRAME type=RST]
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 0/5000
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 100/5000
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 200/5000
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 300/5000
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 400/5000
[2026-02-13 00:20:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 500/5000
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 600/5000
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 700/5000
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 800/5000
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 900/5000
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 1000/5000
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=RSTACK]
[2026-02-13 00:20:48] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=0)
[2026-02-13 00:20:48] info: 	zh:ember:uart:ash: ======== ASH started ========
[2026-02-13 00:20:48] info: 	zh:ember:ezsp: ======== EZSP started ========
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=0:"VERSION" Seq=0 Len=4]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=0 frmRx=0](ackRx=0)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=0 frmTx=1)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=0](frmRx=0) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=1)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=0:"VERSION" Seq=0 Len=7]
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=0:"VERSION" Seq=1 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=1 frmRx=1](ackRx=1)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=1 frmTx=2)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=1](frmRx=1) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=2)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=0:"VERSION" Seq=1 Len=9]
[2026-02-13 00:20:48] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2026-02-13 00:20:48] debug: 	zh:ember: Adapter info: EZSPVersion=13 StackType=2 StackVersion=29760
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=170:"GET_VALUE" Seq=2 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=2 frmRx=2](ackRx=2)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=2 frmTx=3)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=2](frmRx=2) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=3](ackRx=3)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=170:"GET_VALUE" Seq=2 Len=14]
[2026-02-13 00:20:48] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=3 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=3 frmRx=3](ackRx=3)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=3 frmTx=4)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=3](frmRx=3) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=4](ackRx=4)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=3 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspConfigId] SET 'TRUST_CENTER_ADDRESS_CACHE_SIZE' TO '2' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=4 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=4 frmRx=4](ackRx=4)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5](ackRx=4 frmTx=5)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5 frmNum=4](frmRx=4) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=5)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=4 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspConfigId] SET 'INDIRECT_TRANSMISSION_TIMEOUT' TO '7680' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=5 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=5 frmRx=5](ackRx=5)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=5 frmTx=6)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=5](frmRx=5) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=6)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=5 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspConfigId] SET 'MAX_HOPS' TO '30' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=6 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=6 frmRx=6](ackRx=6)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7](ackRx=6 frmTx=7)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7 frmNum=6](frmRx=6) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=7](ackRx=7)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=6 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspConfigId] SET 'SUPPORTED_NETWORKS' TO '1' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=85:"SET_POLICY" Seq=7 Len=7]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=7 frmRx=7](ackRx=7)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0](ackRx=7 frmTx=0)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0 frmNum=7](frmRx=7) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=0)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=85:"SET_POLICY" Seq=7 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspPolicyId] SET 'BINDING_MODIFICATION_POLICY' TO '18' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=85:"SET_POLICY" Seq=8 Len=7]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=0 frmRx=0](ackRx=0)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=0 frmTx=1)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=0](frmRx=0) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=1)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=85:"SET_POLICY" Seq=8 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspPolicyId] SET 'MESSAGE_CONTENTS_IN_CALLBACK_POLICY' TO '64' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=171:"SET_VALUE" Seq=9 Len=9]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=1 frmRx=1](ackRx=1)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=1 frmTx=2)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=1](frmRx=1) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=2)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=171:"SET_VALUE" Seq=9 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspValueId] SET 'TRANSIENT_DEVICE_TIMEOUT' TO '16,39' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=21:"SET_MANUFACTURER_CODE" Seq=10 Len=7]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=2 frmRx=2](ackRx=2)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=2 frmTx=3)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=2](frmRx=2) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=3](ackRx=3)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=21:"SET_MANUFACTURER_CODE" Seq=10 Len=5]
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=11 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=3 frmRx=3](ackRx=3)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=3 frmTx=4)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=3](frmRx=3) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=4](ackRx=4)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=11 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspConfigId] SET 'STACK_PROFILE' TO '2' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=12 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=4 frmRx=4](ackRx=4)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5](ackRx=4 frmTx=5)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5 frmNum=4](frmRx=4) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=5)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=12 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspConfigId] SET 'SECURITY_LEVEL' TO '5' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=13 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=5 frmRx=5](ackRx=5)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=5 frmTx=6)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=5](frmRx=5) Added to rxQueue
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=6)
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: <=== [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=13 Len=6]
[2026-02-13 00:20:48] debug: 	zh:ember: [EzspConfigId] SET 'MAX_END_DEVICE_CHILDREN' TO '32' with status=OK.
[2026-02-13 00:20:48] debug: 	zh:ember:ezsp: ===> [FRAME: ID=83:"SET_CONFIGURATION_VALUE" Seq=14 Len=8]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=6 frmRx=6](ackRx=6)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7](ackRx=6 frmTx=7)
[2026-02-13 00:20:48] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7 frmNum=6](frmRx=6) Added to rxQueue
