[2026-02-14 13:30:30] debug: 	z2m: Received Zigbee message from 'Sonoff SNZB-02D 1', type 'attributeReport', cluster 'msRelativeHumidity', data '{"measuredValue":4430}' from endpoint 1 with groupID 0
[2026-02-14 13:30:30] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sonoff SNZB-02D 1', payload '{"battery":100,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":44.3,"humidity_calibration":0,"linkquality":172,"temperature":16.2,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Sonoff/snzb-02d_v2.3.0.ota","latest_version":8960,"state":"idle"}}'
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=0 frmTx=1)
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=7](frmRx=7) Added to rxQueue
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=1)
[2026-02-14 13:30:30] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=128 Len=7]
[2026-02-14 13:30:30] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=62 messageTag=35 status=OK]
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=1 frmTx=1)
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=0](frmRx=0) Added to rxQueue
[2026-02-14 13:30:30] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=1)
[2026-02-14 13:30:30] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=128 Len=22]
[2026-02-14 13:30:30] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=59939 apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":62} messageTag=35
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=1 frmTx=1)
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=1](frmRx=1) Added to rxQueue
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=1)
[2026-02-14 13:30:32] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=128 Len=32]
[2026-02-14 13:30:32] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":1,"sourceEndpoint":1,"destinationEndpoint":1,"options":320,"groupId":0,"sequence":79} packetInfo:{"senderShortId":24257,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":176,"lastHopRssi":-56,"lastHopTimestamp":0} messageContents=181e0a210020c8
[2026-02-14 13:30:32] debug: 	zh:controller: Received payload: clusterID=1, address=24257, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=176, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":30,"commandIdentifier":10},"payload":[{"attrId":33,"dataType":32,"attrData":200}],"command":{"ID":10,"name":"report","parameters":[{"name":"attrId","type":9},{"name":"dataType","type":8},{"name":"attrData","type":1000}]}}
